07:28:13 [INFO] Found signature: dwForceAttack => 0x31D1134
07:28:13 [INFO] Found signature: dwForceAttack2 => 0x31D1140
07:28:13 [INFO] Found signature: dwForceBackward => 0x31D1188
07:28:13 [INFO] Found signature: dwForceForward => 0x31D1194
07:28:13 [INFO] Found signature: dwForceJump => 0x5249B34
07:28:13 [INFO] Found signature: dwForceLeft => 0x31D1110
07:28:13 [INFO] Found signature: dwForceRight => 0x31D1104
07:28:13 [INFO] Found signature: dwGameDir => 0x62D7F8
07:28:13 [INFO] Found signature: dwGameRulesProxy => 0x52BCE2C
07:28:13 [INFO] Found signature: dwGetAllClasses => 0xDAFD74
07:28:13 [INFO] Found signature: dwGlobalVars => 0x58ECE8
07:28:13 [INFO] Found signature: dwGlowObjectManager => 0x52E81B0
07:28:13 [INFO] Found signature: dwInput => 0x51F11B8
07:28:13 [INFO] Found signature: dwInterfaceLinkList => 0x943C54
07:28:13 [INFO] Found signature: dwLocalPlayer => 0xD882BC
07:28:13 [INFO] Found signature: dwMouseEnable => 0xD8DE60
07:28:13 [INFO] Found signature: dwMouseEnablePtr => 0xD8DE30
07:28:13 [INFO] Found signature: dwPlayerResource => 0x31CF490
07:28:13 [INFO] Found signature: dwRadarBase => 0x51D494C
07:28:13 [INFO] Found signature: dwSensitivity => 0xD8DCFC
07:28:13 [INFO] Found signature: dwSensitivityPtr => 0xD8DCD0
07:28:13 [INFO] Found signature: dwSetClanTag => 0x8A1A0
07:28:13 [INFO] Found signature: dwViewMatrix => 0x4D914D4
07:28:13 [INFO] Found signature: dwWeaponTable => 0x51F1C78
07:28:13 [INFO] Found signature: dwWeaponTableIndex => 0x325C
07:28:13 [INFO] Found signature: dwYawPtr => 0xD8DAC0
07:28:13 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xD92D60
07:28:13 [INFO] Found signature: dwbSendPackets => 0xD723A
07:28:13 [INFO] Found signature: dwppDirect3DDevice9 => 0xA7050
07:28:13 [INFO] Found signature: m_pStudioHdr => 0x294C
07:28:13 [INFO] Found signature: m_yawClassPtr => 0xD8DAC0
07:28:13 [INFO] Found signature: m_pitchClassPtr => 0x51D4BE8
07:28:13 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
07:28:13 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
07:28:13 [INFO] Found signature: m_bDormant => 0xED
07:28:13 [INFO] Found signature: model_ambient_min => 0x59205C
07:28:13 [INFO] Found signature: set_abs_angles => 0x1E05B0
07:28:13 [INFO] Found signature: set_abs_origin => 0x1E03F0
07:28:13 [INFO] Found signature: is_c4_owner => 0x3BACB0
07:28:13 [INFO] Found signature: force_update_spectator_glow => 0x3AE1F2
07:28:13 [INFO] Found signature: anim_overlays => 0x2980
07:28:13 [INFO] Found signature: m_flSpawnTime => 0xA370
07:28:13 [INFO] Found signature: find_hud_element => 0x3281EE80
07:28:13 [INFO] Finished signature scanning: 57/57 items successful
07:28:13 [INFO] Starting netvar scanning: 85 items
07:28:13 [INFO] Found netvar: m_ArmorValue => 0xB378
07:28:13 [INFO] Found netvar: m_Collision => 0x320
07:28:13 [INFO] Found netvar: m_CollisionGroup => 0x474
07:28:13 [INFO] Found netvar: m_Local => 0x2FBC
07:28:13 [INFO] Found netvar: m_MoveType => 0x25B
07:28:13 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31C4
07:28:13 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31C0
07:28:13 [INFO] Found netvar: m_aimPunchAngle => 0x302C
07:28:13 [INFO] Found netvar: m_aimPunchAngleVel => 0x3038
07:28:13 [INFO] Found netvar: m_bGunGameImmunity => 0x3944
07:28:13 [INFO] Found netvar: m_bHasDefuser => 0xB388
07:28:13 [INFO] Found netvar: m_bHasHelmet => 0xB36C
07:28:13 [INFO] Found netvar: m_bInReload => 0x3238
07:28:13 [INFO] Found netvar: m_bIsDefusing => 0x3930
07:28:13 [INFO] Found netvar: m_bIsScoped => 0x3928
07:28:13 [INFO] Found netvar: m_bSpotted => 0x93D
07:28:13 [INFO] Found netvar: m_bSpottedByMask => 0x980
07:28:13 [INFO] Found netvar: m_dwBoneMatrix => 0x268C
07:28:13 [INFO] Found netvar: m_fAccuracyPenalty => 0x3330
07:28:13 [INFO] Found netvar: m_fFlags => 0x104
07:28:13 [INFO] Found netvar: m_flFallbackWear => 0x31D0
07:28:13 [INFO] Found netvar: m_flFlashDuration => 0xA420
07:28:13 [INFO] Found netvar: m_flFlashMaxAlpha => 0xA41C
07:28:13 [INFO] Found netvar: m_flNextPrimaryAttack => 0x3238
07:28:13 [INFO] Found netvar: m_hActiveWeapon => 0x2EF8
07:28:13 [INFO] Found netvar: m_hMyWeapons => 0x2EF8
07:28:13 [INFO] Found netvar: m_hObserverTarget => 0x338C
07:28:13 [INFO] Found netvar: m_hOwner => 0x29CC
07:28:13 [INFO] Found netvar: m_hOwnerEntity => 0x14C
07:28:13 [INFO] Found netvar: m_iAccountID => 0x2FC8
07:28:13 [INFO] Found netvar: m_iClip1 => 0x3264
07:28:13 [INFO] Found netvar: m_iCompetitiveRanking => 0x1A84
07:28:13 [INFO] Found netvar: m_iCompetitiveWins => 0x1B88
07:28:13 [INFO] Found netvar: m_iCrosshairId => 0xB388
07:28:13 [INFO] Found netvar: m_iEntityQuality => 0x2FAC
07:28:13 [INFO] Found netvar: m_iFOVStart => 0x31E8
07:28:13 [INFO] Found netvar: m_iFOV => 0x31E4
07:28:13 [INFO] Found netvar: m_iGlowIndex => 0xA420
07:28:13 [INFO] Found netvar: m_iHealth => 0x100
07:28:13 [INFO] Found netvar: m_iItemDefinitionIndex => 0x2FAA
07:28:13 [INFO] Found netvar: m_iItemIDHigh => 0x2FC0
07:28:13 [INFO] Found netvar: m_iObserverMode => 0x3378
07:28:13 [INFO] Found netvar: m_iShotsFired => 0xA390
07:28:13 [INFO] Found netvar: m_iState => 0x3258
07:28:13 [INFO] Found netvar: m_iTeamNum => 0xF4
07:28:13 [INFO] Found netvar: m_lifeState => 0x25F
07:28:13 [INFO] Found netvar: m_nFallbackPaintKit => 0x31C8
07:28:13 [INFO] Found netvar: m_nFallbackSeed => 0x31CC
07:28:13 [INFO] Found netvar: m_nFallbackStatTrak => 0x31D4
07:28:13 [INFO] Found netvar: m_nForceBone => 0x268C
07:28:13 [INFO] Found netvar: m_nTickBase => 0x3430
07:28:13 [INFO] Found netvar: m_rgflCoordinateFrame => 0x474
07:28:13 [INFO] Found netvar: m_szCustomName => 0x303C
07:28:13 [INFO] Found netvar: m_szLastPlaceName => 0x35B4
07:28:13 [INFO] Found netvar: m_vecOrigin => 0x138
07:28:13 [INFO] Found netvar: m_vecVelocity => 0x114
07:28:13 [INFO] Found netvar: m_vecViewOffset => 0x108
07:28:13 [INFO] Found netvar: m_viewPunchAngle => 0x3020
07:28:13 [INFO] Found netvar: m_thirdPersonViewAngles => 0x31D4
07:28:13 [INFO] Found netvar: m_clrRender => 0x70
07:28:13 [INFO] Found netvar: m_flC4Blow => 0x2990
